disease_name,name_length
选择性维生素B12吸收不良伴有蛋白尿引起的维生素B12缺乏性贫血,32
使用多种药物和其他精神活性物质引起的残留性和迟发性精神病性障碍,31
使用其他兴奋剂(包括咖啡因)引起的残留性和迟发性精神病性障碍,30
使用多种药物和其他精神活性物质急性中毒引起的精神和行为障碍,29
复发性和持续性血尿伴有弥漫性肾小球系膜毛细血管性肾小球肾炎,29
使用其他兴奋剂(包括咖啡因)急性中毒引起的精神和行为障碍,28
复发性和持续性血尿伴有弥漫性肾小球系膜性增生性肾小球肾炎,28
有害性使用多种药物和其他精神活性物质引起的精神和行为障碍,28
使用多种药物和其他精神活性物质引起的其他精神和行为障碍,27
使用多种药物和其他精神活性物质引起的残留性精神病性障碍,27
复发性和持续性血尿伴有弥漫性毛细血管内增生性肾小球肾炎,27
有害性使用其他兴奋剂(包括咖啡因)引起的精神和行为障碍,27
孤立性蛋白尿伴有弥漫性肾小球系膜毛细血管性肾小球肾炎,26
使用其他兴奋剂(包括咖啡因)引起的其他精神和行为障碍,26
使用多种药物和其他精神活性物质引起的精神和行为障碍,25
使用镇静剂或催眠剂引起的残留性和迟发性精神病性障碍,25
含有咖啡因的兴奋剂所致的残留性和迟发性精神病性障碍,25
孤立性蛋白尿伴有弥漫性肾小球系膜性增生性肾小球肾炎,25
使用其他兴奋剂(包括咖啡因)引起的精神和行为障碍,24
冠状动脉旁路(搭桥术)和瓣膜移植物的机械性并发症,24
孤立性蛋白尿伴有弥漫性毛细血管内增生性肾小球肾炎,24
使用挥发性溶剂引起的残留性和迟发性精神病性障碍,23
除朗格汉斯细胞外的单核吞噬细胞的组织细胞增多症,23
苯丙胺类兴奋剂所致的残留性和迟发性精神病性障碍,23
使用阿片类物质引起的残留性和迟发性精神病性障碍,23
使用多种药物和其他精神活性物质引起的精神性障碍,23
使用大麻类物质引起的残留性和迟发性精神病性障碍,23
使用多种药物和其他精神活性物质引起的依赖综合征,23
使用多种药物和其他精神活性物质引起的遗忘综合征,23
使用镇静剂或催眠剂质引起的其他精神和行为障碍,22
饮食性维生素B12缺乏性贫血性脊髓后侧索硬化,22
由于脑损害和功能障碍及躯体疾病引起的精神障碍,22
有害性使用镇静剂或催眠剂引起的精神和行为障碍,22
复发性和持续性血尿伴有弥漫性新月形肾小球肾炎,22
使用其他兴奋剂(包括咖啡因)引起的遗忘综合征,22
使用其他兴奋剂(包括咖啡因)引起的精神性障碍,22
使用其他兴奋剂(包括咖啡因)引起的依赖综合征,22
主要影响自主神经系统的其他和未特指的药物中毒,22
主动脉体和其他节旁体动态未定或动态未知的肿瘤,22
在手术和医疗操作中对病人的意外事故的后遗症,21
镇静剂或催眠剂所致的残留性和迟发性精神障碍,21
眼假体装置植入物和移植物引起的机械性并发症,21
挥发性溶剂所致的残留性和迟发性精神病性障碍,21
已知的外源性原因引起的其他先天性畸形综合征,21
复发性和持续性血尿伴有弥漫性膜性肾小球肾炎,21
Emery-dreifuss型肌营养不良症,21
使用镇静剂或催眠剂引起的残留性精神病性障碍,21
使用挥发性溶剂急性中毒引起的精神和行为障碍,21
使用可卡因引起的残留性和迟发性精神病性障碍,21
仅根据涉及体表范围分类的烧伤和腐蚀伤后遗症,21
产程和分娩期间脊髓和硬膜外麻醉的其他并发症,21
使用致幻剂引起的残留性和迟发性精神病性障碍,21
普氏立克次体引起的流行性虱媒介的斑疹伤寒,20
阿片类药所致的残留性和迟发性精神病性障碍,20
有害性使用阿片类物质引起的精神和行为障碍,20
有害性使用挥发性溶剂引起的精神和行为障碍,20
有害性使用大麻类物质引起的精神和行为障碍,20
营养不良相关性糖尿病伴有其他特指的并发症,20
房间隔缺损作为急性心肌梗死后的近期并发症,20
使用酒精引起的残留性和迟发性精神病性障碍,20
使用烟草引起的残留性和迟发性精神病性障碍,20
主要作用于呼吸系统的其他和未特指制剂中毒,20
HIV感染的不典型皮肤淋巴细胞增生性疾病,20
已确认的人畜共病或大流行性流感病毒性流感,20
男性生殖器官的动态未定或动态未知的肿瘤,19
复发性血清阴性对称性滑膜炎伴凹陷性水肿,19
孤立性蛋白尿伴有弥漫性新月形肾小球肾炎,19
弥漫性中心母细胞-中心细胞性恶性淋巴瘤,19
氯胺酮所致的残留性和迟发性精神病性障碍,19
由药物和中毒引起的继发性铁粒幼细胞贫血,19
粘膜相关淋巴组织结外边缘区B细胞淋巴瘤,19
直肠膀胱隔周围神经和自主神经交界性肿瘤,19
直肠阴道隔周围神经和自主神经交界性肿瘤,19
营养不良相关性糖尿病伴有周围循环并发症,19
阵发性夜间性血红蛋白尿伴再生障碍性贫血,19
阻塞性睡眠呼吸暂停低通气综合征性高血压,19
在产程和分娩中首先察觉到的子宫内低氧症,19
坐骨直肠窝周围神经和自主神经交界性肿瘤,19
使用镇静剂或催眠剂引起的精神和行为障碍,19
咖啡因所致的残留性和迟发性精神病性障碍,19
使用致幻剂急性中毒引起的精神和行为障碍,19
含有咖啡因的兴奋剂所致的精神和行为障碍,19
产程和分娩期间麻醉的中枢神经系统并发症,19
使用大麻类物质引起的其他精神和行为障碍,19
使用大麻类物质引起的残留性精神病性障碍,19
使用挥发性溶剂引起的残留性精神病性障碍,19
使用挥发性溶剂引起的其他精神和行为障碍,19
主要与身材矮小症有关的先天性畸形综合征,19
使用阿片类物质引起的其他精神和行为障碍,19
使用阿片类物质引起的残留性精神病性障碍,19
劳伦斯-穆恩(-巴尔得)-别德尔综合征,19
可卡因所致的残留性和迟发性精神病性障碍,19
直肠膀胱隔周围神经和自主神经恶性肿瘤,18
有害性使用致幻剂引起的精神和行为障碍,18
泌尿系括约肌植入物引起的机械性并发症,18
泌尿系电子刺激装置引起的机械性并发症,18
癫痫复杂部分性发作伴意识障碍和自动症,18
直肠周围周围神经和自主神经交界性肿瘤,18
酒精所致的残留性和迟发性精神病性障碍,18
直肠膀胱隔周围神经和自主神经良性肿瘤,18
直肠阴道隔周围神经和自主神经恶性肿瘤,18
直肠阴道隔周围神经和自主神经良性肿瘤,18
累及多个腺体动态未定或动态未知的肿瘤,18
营养不良相关性糖尿病伴有神经的并发症,18
慢性肾衰竭(肾功能不全)合并肾性骨病,18
有害性使用可卡因引起的精神和行为障碍,18
烟草所致的残留性和迟发性精神病性障碍,18
慢性肾小球肾炎伴膜性增殖性肾小球肾炎,18
使用致幻剂质引起的其他精神和行为障碍,18
